Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,3,-0.565418899,1,0,-0.502163137,TRUE,FALSE,TRUE
1,1,0.66348839,1,0,0.7864036178345383,FALSE,FALSE,FALSE
1,3,-0.258192077,0,0,-0.488579852,FALSE,FALSE,TRUE
1,1,0.4330682736224024,1,0,0.4204940697654092,FALSE,FALSE,TRUE
0,3,0.4330682736224024,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.47784805,TRUE,TRUE,FALSE
0,1,1.8923956800341732,0,0,0.3955913807191113,TRUE,FALSE,TRUE
0,3,-2.101553011,3,1,-0.223957338,TRUE,FALSE,TRUE
1,3,-0.181385371,0,2,-0.424017995,FALSE,FALSE,TRUE
1,2,-1.179872544,1,0,-0.04293139,FALSE,FALSE,FALSE
1,3,-1.9479396,1,1,-0.311997147,FALSE,FALSE,TRUE
1,1,2.1996225024366516,0,0,-0.113781804,FALSE,FALSE,TRUE
0,3,-0.71903231,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,0.7402950960248805,1,5,-0.01869881,TRUE,FALSE,TRUE
0,3,-1.179872544,0,0,-0.490004587,FALSE,FALSE,TRUE
1,2,1.9692023856347929,0,0,-0.326083517,FALSE,FALSE,TRUE
0,3,-2.101553011,4,1,-0.061964088,TRUE,TRUE,FALSE
1,2,-0.104578666,0,0,-0.386453672,TRUE,FALSE,TRUE
0,3,0.12584145121992435,1,0,-0.285836747,FALSE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.502666221,FALSE,FALSE,FALSE
0,2,0.4330682736224024,0,0,-0.124849666,TRUE,FALSE,TRUE
1,2,0.3562615680217829,0,0,-0.386453672,TRUE,FALSE,TRUE
1,3,-1.103065838,0,0,-0.486482995,FALSE,TRUE,FALSE
1,1,-0.104578666,0,0,0.066322492,TRUE,FALSE,TRUE
0,3,-1.640712778,3,1,-0.223957338,FALSE,FALSE,TRUE
1,3,0.66348839,1,5,-0.016434929,FALSE,FALSE,TRUE
0,3,-0.104578666,0,0,-0.502666221,TRUE,FALSE,FALSE
0,1,-0.795839016,3,2,4.644392599719279,TRUE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.489501503,FALSE,TRUE,FALSE
0,3,-0.104578666,0,0,-0.489167454,TRUE,FALSE,TRUE
0,1,0.8171018016255001,0,0,-0.090221345,TRUE,FALSE,FALSE
1,1,-0.104578666,1,0,2.300436803386727,FALSE,FALSE,FALSE
1,3,-0.104578666,0,0,-0.492101444,FALSE,TRUE,FALSE
0,2,2.8140761472416074,0,0,-0.436762135,TRUE,FALSE,TRUE
0,1,-0.104578666,1,0,1.0054969729792393,TRUE,FALSE,FALSE
0,1,0.970715213,1,0,0.39835834616870003,TRUE,FALSE,TRUE
1,3,-0.104578666,0,0,-0.502581703,TRUE,FALSE,FALSE
0,3,-0.642225605,0,0,-0.486064428,TRUE,FALSE,TRUE
0,3,-0.872645722,2,0,-0.285836747,FALSE,FALSE,TRUE
1,3,-1.179872544,1,0,-0.42183662,FALSE,FALSE,FALSE
0,3,0.8171018016255001,1,0,-0.457388605,FALSE,FALSE,TRUE
